device_id,current,active_power,reactive_power,ts_id,device_type,device_location,device_brand,device_category,description,synthetic
6c65bde6-4dbf-4885-932e-1cc9045de431,0.2839,37.74,9.61,112567,freezer,GB,prodis,kitchen,arctic AR5500W,0
6c65bde6-4dbf-4885-932e-1cc9045de431,0.2831,37.68,9.63,112567,freezer,GB,prodis,kitchen,arctic AR5500W,0
6c65bde6-4dbf-4885-932e-1cc9045de431,0.2831,37.68,9.63,112567,freezer,GB,prodis,kitchen,arctic AR5500W,0
6c65bde6-4dbf-4885-932e-1cc9045de431,0.2831,37.68,9.63,112567,freezer,GB,prodis,kitchen,arctic AR5500W,0
6c65bde6-4dbf-4885-932e-1cc9045de431,0.2861,38.02,9.66,112567,freezer,GB,prodis,kitchen,arctic AR5500W,0
6c65bde6-4dbf-4885-932e-1cc9045de431,0.2869,38.06,9.76,112567,freezer,GB,prodis,kitchen,arctic AR5500W,0
2b7497cd-d705-45b7-9b1a-a58d0e92d3a6,0.0299,0.71,7.56,112568,monitor,GB,gigabyte,office,34 inch gaming monitor,1
2b7497cd-d705-45b7-9b1a-a58d0e92d3a6,0.0494,3.73,7.48,112568,monitor,GB,gigabyte,office,34 inch gaming monitor,1
2b7497cd-d705-45b7-9b1a-a58d0e92d3a6,0.0486,3.73,7.42,112568,monitor,GB,gigabyte,office,34 inch gaming monitor,1
2b7497cd-d705-45b7-9b1a-a58d0e92d3a6,0.0516,4.22,7.4,112568,monitor,GB,gigabyte,office,34 inch gaming monitor,1
2b7497cd-d705-45b7-9b1a-a58d0e92d3a6,0.0816,8.17,7.44,112568,monitor,GB,gigabyte,office,34 inch gaming monitor,1
2b7497cd-d705-45b7-9b1a-a58d0e92d3a6,0.2839,37.22,9.27,112568,monitor,GB,gigabyte,office,34 inch gaming monitor,1
2b7497cd-d705-45b7-9b1a-a58d0e92d3a6,0.2824,37.01,9.32,112568,monitor,GB,gigabyte,office,34 inch gaming monitor,1
2b7497cd-d705-45b7-9b1a-a58d0e92d3a6,0.2846,37.33,9.28,112568,monitor,GB,gigabyte,office,34 inch gaming monitor,1
2b7497cd-d705-45b7-9b1a-a58d0e92d3a6,0.2846,37.33,9.28,112568,monitor,GB,gigabyte,office,34 inch gaming monitor,1
